filename,EPS,EPS_Term
0001008654-20-000048.html,-0.76,net income (loss) per share
0001140361-20-010070.html,0.38,earnings per common share - basic
0001193125-20-124288.html,2.01,per common share
0001299709-20-000078.html,0.94,eps
0001104659-20-052792.html,0.04,per share
0000892537-20-000010.html,0.71,per share
0001564590-20-019755.html,2.00,basic earnings per share
0001193125-20-124568.html,0.30,earnings per share
0001323885-20-000027.html,-0.42,loss per share
0001564590-20-019431.html,1.08,basic earnings per share
0001620459-20-000067.html,-1.21,per share
0001141391-20-000089.html,1.68,basic earnings per share
0000875320-20-000014.html,2.29,income per share
0001720635-20-000018.html,8.00,per share
0000008947-20-000044.html,-0.41,per common share
0001564590-20-019396.html,0.10,earnings per share
0001165002-20-000083.html,0.50,eps
0000939057-20-000186.html,21.42,per common share
0000895419-20-000042.html,NONE,NONE
0000706129-20-000012.html,0.26,basic earnings per share
0000004977-20-000054.html,0.78,earnings per share
0001157523-20-000599.html,0.56,earnings per share
0001564590-20-019421.html,-0.01,earnings (loss) per share
0001193125-20-126089.html,1.40,per share
0001193125-20-126683.html,2.50,per share
0001423689-20-000040.html,-1.56,net income (loss) per common share
0001171843-20-003035.html,4.00,per share
0001373715-20-000098.html,-0.25,net income (loss) per share
0001104659-20-053353.html,0.65,basic net income per share
0001157523-20-000597.html,-0.03,income per share
0001104659-20-053534.html,NONE,NONE
0001104659-20-053563.html,3.17,per share
0000046080-20-000050.html,-1.00,per share
0001289945-20-000036.html,-0.04,income per common share
0001564590-20-019726.html,-0.08,earnings (loss) per share
0001691303-20-000019.html,0.42,income per share
0001564590-20-019442.html,1.25,per share
0001576427-20-000032.html,1.00,per share
0001564590-20-019760.html,0.15,per share
0000066570-20-000013.html,23.00,per diluted share
0001157523-20-000600.html,0.11,basic net income per share
0001722482-20-000089.html,0.59,per share
0000314808-20-000062.html,-15.19,per share
0001678463-20-000062.html,-0.22,per share
0000846617-20-000024.html,0.47,basic earnings per common share
0001538263-20-000014.html,0.07,per share
0000950103-20-008424.html,0.24,per share
0000874766-20-000033.html,1.34,earnings per share
0001104659-20-052683.html,-0.42,per common share
0001436425-20-000011.html,22.00,per share
